,Accuracy 0,Accuracy 1,Accuracy 2,Accuracy 3,Accuracy 4,Accuracy STD. 0,Accuracy STD. 1,Accuracy STD. 2,Accuracy STD. 3,Accuracy STD. 4,Dataset,F1-score 0,F1-score 1,F1-score 2,F1-score 3,F1-score 4,F1-score STD. 0,F1-score STD. 1,F1-score STD. 2,F1-score STD. 3,F1-score STD. 4,Network Initialization,Precision 0,Precision 1,Precision 2,Precision 3,Precision 4,Precision STD. 0,Precision STD. 1,Precision STD. 2,Precision STD. 3,Precision STD. 4,Recall 0,Recall 1,Recall 2,Recall 3,Recall 4,Recall STD. 0,Recall STD. 1,Recall STD. 2,Recall STD. 3,Recall STD. 4,Training Method,Uncertainty Sampling
0,0.3562265640418394,0.4293138609302019,0.4503651075587132,0.48141569633576736,0.4950332214985856,0.03922063823408284,0.05149787934628203,0.03883474955665711,0.02896145744712264,0.023858704301778055,Skin Lesions,0.18899947538207382,0.2608526282530586,0.2787145544830516,0.32105027259417884,0.3329708283347706,0.006446361862158384,0.021019516489713425,0.008295343560614732,0.03614705433240095,0.021204266599994914,Random,0.22057922115814,0.26898027542984887,0.28687947755263243,0.3119145165759978,0.31828447330224563,0.0119945634459864,0.019955955566729217,0.007847336606190525,0.026360912312648532,0.018449827857820733,0.23120420542941586,0.31904047243480427,0.35714618868492853,0.39180283393551435,0.41643628887361855,0.010004414958295266,0.015196835965557487,0.016456442846663644,0.02951485409254201,0.012940081136788018,Supervised learning,Random
1,0.3562265640418394,0.40049996710742714,0.4329978290901914,0.44950990066443003,0.48924412867574496,0.03922063823408284,0.03760103068182874,0.03671907386248385,0.04062401868080279,0.04884244714042091,Skin Lesions,0.18899947538207382,0.22558011732532557,0.2652867059845769,0.2837658486308475,0.31426436271430674,0.006446361862158384,0.02090838769643974,0.02620308981898284,0.030851082491632098,0.038358770952244214,Random,0.22057922115814,0.25084149787154447,0.2753753935379833,0.28747311700920203,0.30844378383530474,0.0119945634459864,0.010212826878247483,0.020283223926608585,0.024200278187894775,0.033212685035398426,0.23120420542941586,0.2944997533563232,0.33806711051588795,0.37379688018826257,0.4004455511972676,0.010004414958295266,0.02644317898660048,0.020954464312045784,0.02456310334193984,0.023732225599140067,Supervised learning,MC dropout
2,0.35622656404183933,0.40642063022169594,0.44181303861588056,0.4615485823301099,0.5158213275442406,0.03922063823408278,0.031779468690788515,0.021471167051673845,0.0017230183348080907,0.02150017181222308,Skin Lesions,0.18899947538207382,0.21775077421215508,0.23448464264502186,0.2908592039221649,0.348419562291532,0.006446361862158384,0.02346239311323664,0.026813580060720182,0.007006241327195073,0.018785583359716307,Random,0.22057922115814,0.23008140289204712,0.24669780028056887,0.2926772642248253,0.3316185576032485,0.0119945634459864,0.017112376567320176,0.023149491720403093,0.003332688116480631,0.013683375856268776,0.2312042054294159,0.2624076325450856,0.3292396889437423,0.3872991894378716,0.42464644191043516,0.010004414958295266,0.029332497283377307,0.028055329685299613,0.008958625976527856,0.018107367093724624,Supervised learning,Entropy Based
3,0.35622656404183933,0.3978027761331491,0.3978027761331491,0.44187882376159465,0.49733570159857904,0.03922063823408278,0.014721475105850979,0.014721475105850979,0.018710988568650666,0.0203349536426205,Skin Lesions,0.18899947538207382,0.22468966377713998,0.24409811158589037,0.27979876876765286,0.32714808799688694,0.006446361862158384,0.015062052082152583,0.009437692460999292,0.00816426693451544,0.00145672042029521,Random,0.22057922115814,0.2373378836814182,0.25988277256847914,0.28223840085452573,0.3142743638361427,0.0119945634459864,0.008154538173055698,0.0025516426055974817,0.005133090996802092,0.001368213652510497,0.23120420542941586,0.29392570102882043,0.34400555578450254,0.38841253710582474,0.41757420861263855,0.010004414958295266,0.029904698715915,0.0120085278175312,0.014115080451193918,0.0026925705180418924,Supervised learning,Augmentations Based
4,0.4143806328531017,0.48858627721860404,0.49687520557858034,0.5451615025327281,0.5595026642984015,0.029780987052372032,0.011825234481216418,0.02014787557544051,0.009967697895488126,0.008172199278084102,Skin Lesions,0.22500482786820228,0.2953868833938758,0.31849423996054044,0.36417296323462195,0.39224734651614357,0.018295596533244585,0.010961389333749294,0.020631269187480983,0.010934523789808304,0.005200566607695412,ImageNet,0.23476827485845675,0.2950732044080271,0.307527436194393,0.34424439297663945,0.36932679436684124,0.01430797186755578,0.008351058974679637,0.017614439575891427,0.006460812488705614,0.003382275185654593,0.2686024346209441,0.3604505919554277,0.4105270745942217,0.4358455399792638,0.4558449400870594,0.03059112066444808,0.011383547876353262,0.017859512093599428,0.013077119195772091,0.015091370713146368,Supervised learning,Random
5,0.4143806328531017,0.4616801526215381,0.49713834616143676,0.5313466219327676,0.5597658048812577,0.029780987052372032,0.02503917807716277,0.044553691127613426,0.025282730149711052,0.009815443561024928,Skin Lesions,0.22500482786820228,0.26145752965870744,0.29975431452789675,0.3565278188471384,0.38388474888918633,0.018295596533244585,0.03834332802745616,0.043939275356747465,0.02773033762824345,0.020846517055903957,ImageNet,0.23476827485845675,0.2831111134289141,0.3000601391720348,0.34593726473224945,0.36300925775828397,0.01430797186755578,0.020628689835245573,0.029850394480641862,0.01879528207644071,0.01819361231538663,0.2686024346209441,0.34790080487576347,0.39386905700080727,0.44413350289176406,0.46474414240213663,0.03059112066444808,0.01156070498766526,0.01692535330478312,0.013735023563242021,0.014521213013783452,Supervised learning,MC dropout
6,0.4143806328531017,0.4143806328531017,0.5016117360699954,0.5583843168212618,0.5751595289783568,0.029780987052372032,0.029780987052372032,0.0423860590856634,0.003821205376345671,0.02684920608244168,Skin Lesions,0.22500482786820228,0.22500482786820228,0.311029919968775,0.38385121590840315,0.4095668601775945,0.018295596533244585,0.018295596533244585,0.0319856402690647,0.030918017680154897,0.03224874656526794,ImageNet,0.23476827485845675,0.23476827485845675,0.31231685262084957,0.36874603582675974,0.38843890041116413,0.01430797186755578,0.01430797186755578,0.022164528525958294,0.020977083208074676,0.02883994687135394,0.2686024346209441,0.2686024346209441,0.40855356451440983,0.45699573676597166,0.481609498675387,0.03059112066444808,0.03059112066444808,0.015735584486279874,0.01761507252243033,0.01089603204739198,Supervised learning,Entropy Based
7,0.4143806328531017,0.46121965660153935,0.5288467863956319,0.5655548977040984,0.5902243273468851,0.029780987052372032,0.01102720745585084,0.05444443204032523,0.022283012729350182,0.006107044518268601,Skin Lesions,0.22500482786820228,0.2857795594912029,0.35553384458302123,0.38188910691793687,0.4156049191743075,0.018295596533244585,0.026349990096892262,0.038170478834339716,0.01854488368237539,0.013102475596342533,ImageNet,0.23476827485845672,0.2946527615988338,0.3435797257601707,0.3640391015336319,0.38752829659799687,0.01430797186755578,0.030385483348290776,0.03509879160319085,0.016796249805920205,0.011578017617448588,0.2686024346209441,0.3592046779437213,0.4242404040723704,0.46644183449576143,0.48938602022985855,0.03059112066444808,0.034252120734723945,0.007161628660738828,0.007360488248554564,0.01287938368106295,Supervised learning,Augmentations Based
8,0.31340043418196173,0.4340339451351885,0.4627985000986777,0.5064633905664101,0.5270870337477798,0.057327423376457354,0.03394639015079587,0.01954317136479511,0.02321229472449937,0.012822314280249714,Skin Lesions,0.16832114704212467,0.249564353422632,0.2802664433801033,0.33103183587663554,0.34940965293458026,0.025691163560971092,0.01727682600319283,0.016015247611417538,0.009320025690229217,0.013952457181981681,Autoencoder,0.26012863995229796,0.30025589128013774,0.31904781847809865,0.34290555333873973,0.3565699929063204,0.08924146363262336,0.06626100673459415,0.05532509330169133,0.04220290519587411,0.035038640824612666,0.2245668869283321,0.3104591459712825,0.35601866014335865,0.40715801627538456,0.4226150357284415,0.02034848943058945,0.00940779401423536,0.009847898210031791,0.009782270718905695,0.0058705144130453135,Supervised learning,Random
9,0.3789224393132031,0.4166173278073811,0.4511545293072824,0.4511545293072824,0.4963489244128676,0.0019207362095908934,0.008109528482379998,0.008251767470669368,0.010206506917136593,0.002536577793857217,Skin Lesions,0.1831852830786594,0.24403412209431385,0.2737474766482441,0.2742461199235545,0.3336592182338998,0.00381429839593068,0.009803364806399931,0.01054595795608548,0.007364627579324659,0.00604207589430699,Autoencoder,0.19717201922267655,0.25263687451739103,0.2748095115020904,0.2802112640661536,0.3167635075469616,0.0031168197089948015,0.005208917764482425,0.00165651704513922,0.009278790837650912,0.010466572137654468,0.2369506615849102,0.3041567231689756,0.37985346399065306,0.4022981220138927,0.4223082756878873,0.003211600216278669,0.004431721174732441,0.004816772128176108,0.010690734888098241,0.006904424539477861,Supervised learning,MC dropout
